duration,distance,place,type
05:19:32,184.63,DUQUE DE CAXIAS,TOCO
08:12:43,184.34,DUQUE DE CAXIAS,TOCO
04:29:07,182.98,SÃO PAULO,TOCO
06:01:17,182.54,DUQUE DE CAXIAS,TOCO
04:23:48,181.76,DUQUE DE CAXIAS,VUC
04:07:17,181.61,DUQUE DE CAXIAS,TOCO
04:17:16,181.18,MACAÉ,CARRETA
05:58:28,181.17,SÃO PAULO,VUC
05:55:38,180.31,SÃO PAULO,VUC
06:26:50,180.29,SÃO PAULO,VUC
05:10:35,180.2,SÃO PAULO,VUC
04:26:05,179.91,MACAÉ,CARRETA
05:23:19,179.72,MACAÉ,CARRETA
05:58:50,179.44,MACAÉ,VUC
04:13:50,179.27,MACAÉ,CARRETA
05:18:32,178.51,MACAÉ,CARRETA
05:27:21,178.43,MACAÉ,CARRETA
03:37:55,178.34,MACAÉ,CARRETA
07:04:24,178.31,MACAÉ,CARRETA
04:46:20,178.3,MACAÉ,CARRETA
05:18:04,178.07,MACAÉ,CARRETA
05:06:36,177.37,MACAÉ,CARRETA
04:40:20,176.89,RISER,CARRETA
04:20:33,176.26,MACAÉ,CARRETA
04:46:34,175.89,MACAÉ,CARRETA
06:01:09,175.64,SÃO PAULO,VUC
05:13:13,175.6,SÃO PAULO,VUC
03:56:06,175.58,SÃO PAULO,TOCO
04:43:39,174.38,SÃO PAULO,VUC
05:11:37,174.24,SÃO PAULO,VUC
03:59:22,174.15,MACAÉ,CARRETA
07:33:28,174.08,DUQUE DE CAXIAS,TOCO
05:23:48,173.79,MACAÉ,CARRETA
06:01:55,173.73,SÃO PAULO,VUC
04:18:49,173.39,MACAÉ,VUC
06:27:20,173.15,SÃO PAULO,VUC
03:15:46,173.12,MACAÉ,CARRETA
04:41:46,172.84,MACAÉ,CARRETA
02:41:00,172.2,SÃO PAULO,TOCO
04:58:38,171.84,DUQUE DE CAXIAS,VUC
07:11:02,171.45,DUQUE DE CAXIAS,VUC
02:41:44,170.02,SÃO PAULO,TOCO
07:47:56,168.3,DUQUE DE CAXIAS,VUC
05:09:37,166.41,SÃO PAULO,TOCO
04:49:56,166.02,SÃO PAULO,TOCO
04:04:21,165.33,SÃO PAULO,TOCO
04:01:10,164.98,SÃO PAULO,VUC
